Id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
40,289000,3,1,1090,7315,1,0,0,5,1090,0,1981,0,4018 NE 6th Ct,Renton,WA 98056,USA
41,926300,3,1.5,1660,4800,2,0,0,3,1660,0,1907,1983,1814 1st Ave W,Seattle,WA 98119,USA
42,460000,2,1.5,2730,19877,1,0,0,4,1570,1160,1976,1992,19807 330th Ave NE,Duvall,WA 98019,USA
43,440000,3,1,1710,6556,1.5,0,0,4,1200,510,1926,1993,12220 Phinney Ave N,Seattle,WA 98133,USA
44,466800,3,2.5,1480,14250,2,0,0,3,1480,0,1996,0,5811 116th Ave NE,Kirkland,WA 98033,USA
45,294999,4,2.5,1660,9760,2,0,0,3,1660,0,1994,0,11400-11616 SE 266th St,Kent,WA 98030,USA
46,851000,3,2.5,3560,107290,2,0,0,3,3560,0,1987,2000,21630-21648 NE 67th St,Redmond,WA 98053,USA
47,371500,3,1,1650,6400,1,0,0,4,980,670,1954,1979,9233 25th Ave SW,Seattle,WA 98106,USA
48,527500,3,1.75,2310,78844,1,0,0,3,1760,550,1977,2004,1950 NW Goode Pl,Issaquah,WA 98027,USA
49,565000,4,2.25,2470,7447,2,0,0,3,2470,0,1984,0,4205 NE 169th Ct,Lake Forest Park,WA 98155,USA
50,571000,4,2,2750,7807,1.5,0,0,5,2250,500,1916,0,12042 38th Ave NE,Seattle,WA 98125,USA
51,415000,3,2.5,1060,1536,2,0,0,3,1060,0,2000,0,2922 NW 85th St,Seattle,WA 98117,USA
52,395000,3,1.5,1080,2940,1.5,0,0,4,1080,0,1920,0,7505 Ravenna Ave NE,Seattle,WA 98115,USA
53,425000,3,2.5,1930,4500,2,0,0,3,1930,0,1990,2009,25238 SE 35th St,Issaquah,WA 98029,USA
54,507500,3,2,2020,8118,1,0,0,3,1020,1000,1963,2008,16630 SE 26th St,Bellevue,WA 98008,USA
55,615000,3,1.75,2360,7291,1,0,0,4,1360,1000,1948,0,8436-8438 41st Ave SW,Seattle,WA 98136,USA
56,798800,3,2.75,2670,3738,1,0,0,3,1720,950,2013,1923,1009-1225 N 41st Pl,Renton,WA 98056,USA
57,1220000,4,3.75,3520,3944,1.5,0,0,5,2200,1320,1913,0,2551 5th Ave N,Seattle,WA 98109,USA
58,341000,4,1.75,1920,7665,1,0,0,4,1500,420,1975,0,16016 SE 173rd St,Renton,WA 98058,USA
59,586500,3,2.5,1780,1487,3,0,0,3,1600,180,2006,0,3840 Evanston Ave N,Seattle,WA 98103,USA
60,1225000,4,2.5,2740,16007,2,0,0,3,2740,0,1984,0,2557 Medina Cir,Medina,WA 98039,USA
61,349950,3,1,1060,9525,1,0,0,3,1060,0,1966,1963,17129 NE 95th St,Redmond,WA 98052,USA
62,500000,2,2.5,1310,1500,2,0,0,3,1160,150,2006,0,921-927 18th Ave,Seattle,WA 98122,USA
63,605000,3,2.25,2080,12134,1,0,0,4,1530,550,1973,0,2408 178th Ave NE,Redmond,WA 98052,USA
64,975000,5,3,2620,5477,2,0,0,3,2620,0,2009,0,3655 NE 73rd St,Seattle,WA 98115,USA
65,311100,4,2.25,2130,8078,1,0,0,4,1380,750,1977,0,3502 Morris Ave S,Renton,WA 98055,USA
66,449000,4,2.5,2960,6031,2,0,0,3,2960,0,2005,0,22614 SE 270th Pl,Maple Valley,WA 98038,USA
67,314950,3,1,1040,16986,1,0,0,4,1040,0,1968,0,18227 SE 135th St,Renton,WA 98059,USA
68,656500,4,2,2710,4750,1,0,0,4,1460,1250,1919,1985,6326 21st Ave NE,Seattle,WA 98115,USA
69,805000,3,2,2710,4500,1.5,0,0,4,1880,830,1929,0,6222 30th Ave NE,Seattle,WA 98115,USA
70,681000,3,1,1700,6356,1.5,0,0,3,1700,0,1907,1983,4001 42nd Ave S,Seattle,WA 98118,USA
71,535000,3,1.75,2330,12141,1,0,0,3,1390,940,1983,2009,14506 NE 184th Pl,Woodinville,WA 98072,USA
72,461000,3,1.75,3600,8666,2,0,0,4,2400,1200,1948,0,13017 NE 100th St,Kirkland,WA 98033,USA
73,150000,2,1,820,10270,1,0,0,3,820,0,1954,2005,10218 Aqua Way S,Seattle,WA 98168,USA
74,885000,4,2.75,2730,3560,1.5,0,0,3,1550,1180,1921,2007,6211 Ravenna Ave NE,Seattle,WA 98115,USA
75,1415000,4,5.25,4670,43950,2,0,0,3,4670,0,1989,0,6324 160th Pl SE,Bellevue,WA 98006,USA
76,315000,4,2.5,1930,9643,2,0,0,4,1930,0,1992,0,12108 SE 218th Pl,Kent,WA 98031,USA
77,765000,4,4,3010,7221,2,0,0,3,3010,0,2004,2003,2828 277th Terrace SE,Sammamish,WA 98075,USA
78,221000,3,1,910,8789,1,0,0,3,910,0,1966,1963,636 S 188th St,Seattle,WA 98148,USA
79,210000,3,2.5,1040,2643,2,0,0,3,720,320,2004,2003,5145 S Roxbury St,Seattle,WA 98118,USA
80,339950,3,2.25,1630,12295,2,0,0,4,1630,0,1985,0,19501 135th Ave SE,Renton,WA 98058,USA
81,1655000,4,3.5,3080,4815,2,0,3,3,2300,780,1937,2009,2441-2499 Crane Dr W,Seattle,WA 98199,USA
82,512500,3,2.5,1900,7604,2,0,0,3,1900,0,1990,2009,11125 115th Ave NE,Kirkland,WA 98033,USA
83,800000,3,3.5,3830,221284,2,0,0,3,3530,300,1993,0,18810 236th Ave NE,Woodinville,WA 98077,USA
84,230000,3,2,1440,5600,1,0,0,4,720,720,1942,2007,2508 NE 7th St,Renton,WA 98056,USA
85,1015000,3,3.25,3620,4000,2,0,0,3,2730,890,2005,0,3505 W McGraw St,Seattle,WA 98199,USA
86,445000,3,1.75,1890,32340,1.5,0,3,3,1890,0,1976,0,21236 Tramp Harbor Rd SW,Vashon,WA 98070,USA
87,256750,3,2.5,1990,8991,1,0,0,3,1570,420,1969,2010,23255 133rd Ave SE,Kent,WA 98042,USA
88,950000,5,3.75,5330,6000,2,0,2,3,3570,1760,2006,0,832 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA
89,502000,3,1.75,1300,8800,1,0,0,4,1300,0,1963,0,16805 NE 12th St,Bellevue,WA 98008,USA
90,735000,3,2.5,2820,8159,2,0,0,3,2820,0,2004,2003,3243 NE Mulberry St,Issaquah,WA 98029,USA
91,349950,4,2.5,2090,5289,2,0,0,3,2090,0,1989,0,19335 133rd Pl SE,Renton,WA 98058,USA
92,594000,4,1.75,1870,5200,2,0,0,4,1200,670,1937,0,7542 42nd Ave NE,Seattle,WA 98115,USA
93,291000,3,1.75,1560,9788,1,0,0,3,1560,0,1964,2000,12816 84th Ave S,Seattle,WA 98178,USA
94,275000,3,2.5,1720,8755,1,0,0,3,1000,720,1983,2009,31607 45th Pl SW,Federal Way,WA 98023,USA
95,646000,4,2.5,2310,4079,2,0,0,3,2310,0,2008,0,8903 3rd Ave NW,Seattle,WA 98117,USA
96,1298000,4,3.5,2790,10125,1.5,0,0,5,2790,0,1985,0,4510 89th Ave SE,Mercer Island,WA 98040,USA
97,370000,3,1,1320,7341,1,0,0,3,1320,0,1982,0,14744 31st Ave NE,Shoreline,WA 98155,USA
98,275000,3,2.5,1480,15639,2,0,0,3,1480,0,1987,2000,44402 SE 142nd Pl,North Bend,WA 98045,USA
99,736000,4,2.5,2290,12047,2,0,0,4,2290,0,1988,0,17435 SE 47th St,Bellevue,WA 98006,USA
100,580000,4,2.5,2220,7064,2,0,0,3,2220,0,1988,2000,4055 238th Pl SE,Issaquah,WA 98029,USA
101,445000,4,2.5,2280,42077,2,0,0,3,2280,0,1994,0,19901-19999 SE 290th Pl,Kent,WA 98042,USA
102,568000,4,1.75,2110,265716,1,0,0,4,2110,0,1979,0,5519 236th Ave NE,Redmond,WA 98053,USA
103,537000,3,2.5,1550,12920,2,0,0,5,1550,0,1999,0,11004 NE 108th St,Kirkland,WA 98033,USA
104,355000,3,2.25,1280,959,3,0,0,3,1280,0,2005,0,8526 Nesbit Ave N,Seattle,WA 98103,USA
105,252500,3,1,1030,6127,1,0,0,3,880,150,1947,2012,819 NE 125th St,Seattle,WA 98125,USA
106,410000,3,2.5,1960,4400,2,0,0,3,1960,0,2006,0,33823 SE Odell St,Snoqualmie,WA 98065,USA
107,545000,3,2,1340,7200,1.5,0,0,4,1340,0,1923,0,4714 54th Ave S,Seattle,WA 98118,USA
108,381000,3,1.75,1800,6000,1,0,0,5,900,900,1950,0,1115 NE 168th St,Shoreline,WA 98155,USA
109,445000,2,2,1240,2500,2,0,0,3,1240,0,1985,0,2847 NW 70th St,Seattle,WA 98117,USA
110,373000,3,2.5,1670,3565,2,0,0,3,1670,0,1999,0,18581 134th Pl NE,Woodinville,WA 98072,USA
111,329900,3,2.5,2170,4905,2,0,0,3,2170,0,2004,2003,22639 SE 280th Pl,Maple Valley,WA 98038,USA
112,225000,3,2,1700,11475,1,0,0,5,970,730,1945,0,238 SW 132nd St,Burien,WA 98146,USA
113,667000,3,1.75,3320,478288,1.5,0,3,4,2260,1060,1933,1982,40201 292nd Ave SE,Enumclaw,WA 98022,USA
114,900000,3,2.5,3180,12600,2,0,0,4,3180,0,1978,2000,3004 211th Ave NE,Sammamish,WA 98074,USA
115,700000,4,3.25,2780,7875,2,0,0,3,2780,0,2006,0,543 N 138th St,Seattle,WA 98133,USA
116,305000,6,2,1900,8240,1,0,0,2,1200,700,1964,0,2825 NE 105th St,Seattle,WA 98125,USA
117,239950,3,1.75,1670,6900,1,0,0,3,1170,500,1978,0,33838 37th Ave SW,Federal Way,WA 98023,USA
118,809000,3,2.5,2590,7720,2,0,0,3,2590,0,1988,2000,14575 NE 57th St,Bellevue,WA 98007,USA
119,300000,3,2.25,1780,10395,1,0,0,3,1780,0,1967,2011,14229 SE 165th Pl,Renton,WA 98058,USA
120,522000,4,2.25,1800,8623,1,0,0,4,1360,440,1980,0,11725 NE 102nd Pl,Kirkland,WA 98033,USA
121,485000,3,2.5,2340,59058,1,0,0,3,2340,0,1985,0,21924 234th Ave SE,Maple Valley,WA 98038,USA
122,509900,3,2.5,1790,2700,2,0,0,3,1790,0,2010,0,4532 185th Ave SE,Issaquah,WA 98027,USA
123,197500,3,1,1330,5412,2,0,0,5,1330,0,1905,0,1535 Griffin Ave,Enumclaw,WA 98022,USA
124,195000,2,1,1020,8100,1,0,0,3,1020,0,1940,1996,11819 1st Avenue South,Seattle,WA 98168,USA
125,1080000,4,3.5,3990,5267,2,0,0,3,3990,0,2008,0,16141 SE 45th Pl,Bellevue,WA 98006,USA
126,705380,3,2.5,2490,4343,2,0,0,3,2490,0,2003,0,3187 NE Larkspur Ln,Issaquah,WA 98029,USA
127,379500,2,1,1640,17335,1,0,0,3,840,800,1978,0,3301-3389 289th Ave NE,Redmond,WA 98053,USA
128,280000,2,1,1880,7560,1,0,0,3,940,940,1919,2001,8611 32nd Ave SW,Seattle,WA 98126,USA
129,300000,3,2.5,1700,3575,2,0,0,3,1700,0,2000,0,6729 Shaffer Ave S,Seattle,WA 98108,USA
130,900000,4,2.5,2230,4372,2,0,0,5,1540,690,1935,0,5641 Keystone Pl N,Seattle,WA 98103,USA
131,995000,3,4.5,4380,47044,2,1,3,3,3720,660,1968,1990,14423 25th Ave SW,Burien,WA 98166,USA
132,685000,3,1.75,1940,7313,1,0,1,4,1440,500,1960,2001,8750 Fauntlee Crest SW,Seattle,WA 98136,USA
133,475000,4,2.75,1980,11443,1,0,0,5,1980,0,1952,1998,19523 53rd Ave NE,Lake Forest Park,WA 98155,USA
134,2475000,3,3.25,4340,4947,2,0,3,3,3060,1280,1993,0,5719 Seaview Ave NW,Seattle,WA 98107,USA
135,1346400,5,1.75,3380,20021,1,0,0,4,1690,1690,1963,0,9640 NE 32nd St,Clyde Hill,WA 98004,USA
136,214100,2,2.5,1150,2064,2,0,0,3,1150,0,2004,2003,27852 31st Pl S,Auburn,WA 98001,USA
137,250000,5,1.5,2520,5753,1.5,0,0,4,1510,1010,1928,0,2134 Montgomery Ave,Enumclaw,WA 98022,USA
138,420000,3,2,1200,5029,1,0,0,3,880,320,1937,1999,3049 NE 90th St,Seattle,WA 98115,USA
139,854000,4,2.75,3150,38865,1,0,0,3,2480,670,1986,0,14302-14314 174th Ave NE,Redmond,WA 98052,USA
140,605000,3,2.25,2010,10760,2,0,0,3,2010,0,1985,0,14150 176th Ave NE,Redmond,WA 98052,USA
141,343000,4,1.75,2290,10290,1,0,0,3,1340,950,1960,2012,2816 SW 110th Pl,Seattle,WA 98146,USA
142,550000,3,1.75,1380,3402,1.5,0,0,3,1380,0,1900,2000,929 24th Ave,Seattle,WA 98122,USA
143,370000,2,1,1220,17172,1,0,0,4,1220,0,1947,1988,13314 NE 104th St,Kirkland,WA 98033,USA
144,1185001,3,2.75,2500,5568,2,0,0,5,2500,0,1905,0,723 16th Ave E,Seattle,WA 98112,USA
145,399950,5,2.75,1970,5400,1,0,0,3,1320,650,1986,0,1770 19th Ave S,Seattle,WA 98144,USA
146,210000,3,1,1240,4842,1,0,0,4,1240,0,1916,0,9612-9618 Renton Ave S,Seattle,WA 98118,USA
147,430000,3,2,1360,5120,1.5,0,0,4,910,450,1924,0,4822 48th Ave SW,Seattle,WA 98116,USA
148,657500,3,2,2320,10960,1,0,0,3,1510,810,1956,2001,12423 NE 6th Pl,Bellevue,WA 98005,USA
149,1300000,6,4.5,3902,3880,3,0,4,4,2782,1120,1977,0,2306 Halleck Ave SW,Seattle,WA 98116,USA
150,463000,2,1,1150,4400,1,0,0,4,1150,0,1905,0,401 31st Ave E,Seattle,WA 98112,USA
151,758000,4,2.75,2410,9549,1,0,0,4,1780,630,1956,0,10627 NE 45th St,Kirkland,WA 98033,USA
152,240015.3333,4,2.25,1720,8300,1,0,0,4,1720,0,1973,0,31510 41st Ave SW,Federal Way,WA 98023,USA
153,1135250,5,4,7320,217800,2,0,0,3,7320,0,1992,0,19100 SE 174th St,Renton,WA 98058,USA
154,898000,5,1.5,2680,28014,1,0,0,4,1450,1230,1963,0,2615 109th Pl NE,Bellevue,WA 98004,USA
155,234000,2,1,870,11100,1,0,0,3,870,0,1940,1996,11062 25th Ave SW,Seattle,WA 98146,USA
156,760000,3,2.5,1980,13964,1,0,0,5,1980,0,1959,0,4201-4213 Island Crest Way,Mercer Island,WA 98040,USA
157,270000,3,1.75,1300,4127,1,0,0,4,650,650,1918,1953,1309 SW Webster St,Seattle,WA 98106,USA
158,205000,3,1,1290,6566,1,0,0,5,1290,0,1976,0,33601-33799 35th Ave SW,Federal Way,WA 98023,USA
159,570000,2,1.75,1540,4025,1,0,0,4,1190,350,1908,0,1715 46th Ave SW,Seattle,WA 98116,USA
160,319950,4,1.75,2310,8045,1,0,0,4,1650,660,1976,1992,16336 131st Ave SE,Renton,WA 98058,USA
161,577437.5,4,2.5,2110,3750,2,0,0,3,2110,0,2000,0,6737 5th Ave NW,Seattle,WA 98117,USA
162,530000,4,2.5,2050,6360,2,0,0,3,2050,0,1988,2000,24610 SE 45th Way,Issaquah,WA 98029,USA
163,453000,4,2.75,2300,37533,1,0,3,5,1550,750,1979,0,7707 SW 259th St,Vashon,WA 98070,USA
164,740000,4,1.75,2010,3600,1.5,0,0,3,2010,0,1902,0,1014 W Garfield St,Seattle,WA 98119,USA
165,403500,5,2.5,3600,17300,1,0,0,4,2410,1190,1968,0,427 SW 174th St,Normandy Park,WA 98166,USA
166,600000,3,1.75,1580,7416,1,0,0,3,1150,430,1967,2011,12501 SE 4th Pl,Bellevue,WA 98005,USA
167,500000,3,2,1720,5525,1,0,2,5,960,760,1941,0,4825 27th Ave S,Seattle,WA 98108,USA
168,348500,3,1.5,1360,10726,1,0,0,4,1360,0,1966,0,12019 156th Ave SE,Renton,WA 98059,USA
169,1950000,7,3.5,4640,15235,2,0,1,3,2860,1780,1965,2003,8105 SE 44th St,Mercer Island,WA 98040,USA
170,665000,5,2,2800,17788,1,0,0,4,1400,1400,1963,0,7502 132nd Ave NE,Kirkland,WA 98033,USA
171,100000,2,0.75,660,5240,1,0,0,4,660,0,1912,1989,749 1st Ave N,Kent,WA 98032,USA
172,229950,3,2,1410,7466,1,0,0,3,1410,0,1983,2009,14609 SE 195th Pl,Renton,WA 98058,USA
173,725000,3,2.5,2610,7510,2,0,0,3,2610,0,1996,0,15317 NE 66th Ct,Redmond,WA 98052,USA
174,385000,4,2.5,2050,5276,2,0,0,3,2050,0,2006,0,5115 NE 5th Pl,Renton,WA 98059,USA
175,890000,5,3.5,4490,6000,2,0,0,3,3200,1290,2006,0,792 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA
176,465000,6,3.25,4250,23326,1,0,3,3,2150,2100,1967,2011,29211 7th Pl S,Federal Way,WA 98003,USA
177,275000,1,0.75,1170,14149,1,0,0,5,880,290,1962,0,37316 W Lake Walker Dr SE,Enumclaw,WA 98022,USA
178,280927,4,2.25,2070,7350,2,0,0,4,2070,0,1977,0,26732 Carnaby Way,Kent,WA 98032,USA
179,345000,2,1,970,5750,1,0,0,4,970,0,1932,1958,5601 29th Ave SW,Seattle,WA 98126,USA
180,345000,3,2,1610,15005,1,0,0,4,1610,0,1986,0,31907 NE 102nd Pl,Carnation,WA 98014,USA
181,2400000,3,2.25,3000,11665,1.5,1,4,3,3000,0,2001,0,East Lake Sammamish Trail,Sammamish,WA 98075,USA
182,805000,3,2.75,2600,5875,1.5,0,2,5,1600,1000,1929,0,5710 SW Admiral Way,Seattle,WA 98116,USA
183,344000,3,2.5,1232,1130,3,0,0,3,1232,0,2007,0,12331 A 10th Pl NE,Seattle,WA 98125,USA
184,440000,3,1.75,1170,8740,1,0,0,4,1170,0,1968,0,9319 167th Ave NE,Redmond,WA 98052,USA
185,765000,4,2.75,2790,10819,2,0,0,3,2790,0,1996,0,19490 SE 57th Pl,Issaquah,WA 98027,USA
186,670000,5,2.5,2860,68519,2,0,0,5,2860,0,1958,0,37927 SE 82nd Pl,Snoqualmie,WA 98065,USA
187,2110000,3,2.25,3230,17833,2,0,0,4,3230,0,1973,0,12 Columbia Key,Bellevue,WA 98006,USA
188,211000,3,1.5,1350,7620,1,0,0,5,1350,0,1941,0,16251 12th Ave SW,Burien,WA 98166,USA
189,500000,3,2.5,2840,48716,1,0,3,3,1870,970,1994,0,9320 318th Pl NE,Carnation,WA 98014,USA
190,680000,4,2.75,2500,4950,2,0,0,3,2500,0,2010,0,11000 243rd Ave NE,Redmond,WA 98053,USA
191,189000,3,1,1010,7560,1,0,0,3,1010,0,1958,2004,17026 124th Ave SE,Renton,WA 98058,USA
192,530000,5,2.5,2910,9636,1,0,0,4,1690,1220,1964,0,3250 165th Ave SE,Bellevue,WA 98008,USA
193,475000,4,2,2100,13468,1,0,0,5,1050,1050,1962,0,11719 33rd Pl NE,Seattle,WA 98125,USA
194,615000,4,1.75,2300,11700,1,0,0,4,1960,340,1977,0,18427 NE 26th Way,Redmond,WA 98052,USA
195,852600,4,2.5,3320,11901,2,0,0,5,2650,670,1977,0,5334-5394 134th Ave SE,Bellevue,WA 98006,USA
196,397990,3,1,1180,11862,1,0,0,4,1180,0,1948,0,11739 4th Ave NW,Seattle,WA 98177,USA
197,459950,4,2.5,2000,6107,2,0,0,3,2000,0,2003,0,8928 NE 176th St,Bothell,WA 98011,USA
198,744000,4,3,1980,5352,2.5,0,0,3,1980,0,1941,2005,4103 SW Kenyon St,Seattle,WA 98136,USA
199,688000,4,3,3000,4000,1.5,0,3,3,1970,1030,1913,2014,3220 19th Ave S,Seattle,WA 98144,USA
200,470000,3,1.75,2290,14800,1,0,0,3,1620,670,1965,1993,5319 NE 201st Pl,Lake Forest Park,WA 98155,USA
201,826000,4,2.5,3060,7140,2,0,0,3,3060,0,2006,0,2401 NE Daphne St,Issaquah,WA 98029,USA
202,910000,4,3.5,4040,50479,2,0,0,3,4040,0,1987,2000,13417 218th Ave NE,Woodinville,WA 98077,USA
203,300000,2,1,750,5120,1,0,0,4,750,0,1941,1998,7920 34th Ave SW,Seattle,WA 98126,USA
204,830000,3,3,2080,10521,1.5,0,0,3,2080,0,2004,2003,8359 NE Juanita Dr,Kirkland,WA 98034,USA
205,433000,4,1.5,1550,5053,1,0,0,4,1180,370,1963,0,4702 S Juneau St,Seattle,WA 98118,USA
206,1180500,3,1.75,1610,7200,1,0,0,3,1090,520,1973,2013,1015 36th Ave E,Seattle,WA 98112,USA
207,345000,2,1,1080,7775,1,0,0,3,1080,0,1955,2005,6439 Marshall Ave SW,Seattle,WA 98136,USA
208,2000000,5,4,4580,4443,3,1,4,3,4580,0,2004,2003,4277 E Lake Sammamish Shore Ln SE,Sammamish,WA 98075,USA
209,591000,4,2.25,2710,38180,2,0,0,4,2710,0,1977,0,19615 182nd Ave NE,Woodinville,WA 98077,USA
210,394950,3,2.5,1350,1250,3,0,0,3,1270,80,2006,0,5940 California Ave SW,Seattle,WA 98136,USA
211,239900,3,2,1410,7566,1,0,0,3,1410,0,1985,0,11907 SE 261st Pl,Kent,WA 98030,USA
212,530000,3,1.75,1250,6041,1.5,0,0,5,1250,0,1942,0,2202 NE 83rd St,Seattle,WA 98115,USA
213,395000,2,2.25,1350,1493,2,0,0,3,1050,300,2007,0,4313 SW Willow St,Seattle,WA 98136,USA
214,503000,3,2,2590,108900,2,0,0,3,1980,610,1988,2000,21409 SE 215th St,Maple Valley,WA 98038,USA
215,335000,2,2,1350,2560,1,0,0,3,1350,0,1976,0,2616 174th Ave NE,Redmond,WA 98052,USA
216,790000,5,3.25,2900,12160,1,0,0,4,1890,1010,1967,0,465 129th Pl NE,Bellevue,WA 98005,USA
217,760000,4,2.5,2420,10285,1,0,4,3,1700,720,1958,2004,12849 Shorecrest Dr SW,Burien,WA 98146,USA
218,246500,3,1.5,1270,11600,1,0,0,4,1270,0,1964,0,10804 SE 218th St,Kent,WA 98031,USA
219,388000,4,2.5,2440,7155,2,0,0,3,2440,0,1993,0,16032 SE 170th Pl,Renton,WA 98058,USA
220,285500,4,1.75,1960,7950,1,0,0,4,1960,0,1967,0,32500-32514 35th Ave SW,Federal Way,WA 98023,USA
221,395000,4,2.5,2910,5000,2,0,0,3,2910,0,2002,0,24923 161st Pl SE,Covington,WA 98042,USA
222,325000,3,2.5,2070,8337,2,0,0,3,2070,0,1997,0,26300-26398 124th Ave SE,Kent,WA 98030,USA
223,598000,4,2.5,3130,40918,2,0,0,3,3130,0,1994,0,46300 SE 137th St,North Bend,WA 98045,USA
224,449500,3,2,1770,6610,1,0,0,4,960,810,1954,1979,19293 Stone Ave N,Shoreline,WA 98133,USA
225,157500,2,1,740,9003,1,0,0,3,740,0,1949,1998,20206-20212 108th Ave SE,Kent,WA 98031,USA
226,760000,4,2.5,2760,6000,2,0,0,5,2230,530,1942,0,8107 31st Ave NE,Seattle,WA 98115,USA
